model,embedding_dim,margin,lam,lr,loss,hits,hit_rate,full_hr,figname
CML,64,1,1,0.01,0.5574256181716919,1064.0,0.43481814466693913,0.01879852881078872,20
CML,64,1,5,0.01,0.5671896934509277,1080.0,0.4413567633837352,0.02043318348998774,21
CML,64,1,10,0.01,0.5681280493736267,1082.0,0.4421740907233347,0.020024519820187985,22
CML,64,2,0,0.01,1.3106679916381836,918.0,0.3751532488761749,0.0073559460563955865,23
CML,64,2,1,0.01,1.3138819932937622,905.0,0.3698406211687781,0.00939926440539436,24
CML,64,2,5,0.01,1.3157840967178345,897.0,0.36657131181038005,0.008990600735594606,25
CML,64,2,10,0.01,1.32342529296875,895.0,0.36575398447078056,0.012259910093992644,26
CML,64,4,0,0.01,3.3111915588378906,910.0,0.3718839395177769,0.011033919084593379,27
CML,64,4,1,0.01,3.308271646499634,903.0,0.3690232938291786,0.0053126277073968125,28
CML,64,4,5,0.01,3.3170530796051025,927.0,0.3788312219043727,0.013894564773191663,29
CML,64,4,10,0.01,3.319640636444092,904.0,0.36943195749897834,0.011033919084593379,30
CML,256,0.5,0,0.01,0.26658758521080017,1098.0,0.44871270944013075,0.019207192480588477,31
CML,256,0.5,1,0.01,0.26132431626319885,1095.0,0.4474867184307315,0.020841847159787496,32
CML,256,0.5,5,0.01,0.26501986384391785,1102.0,0.4503473641193298,0.017572537801389457,33
CML,256,0.5,10,0.01,0.27343782782554626,1064.0,0.43481814466693913,0.023293829178586023,34
CML,256,1,0,0.01,0.6030234694480896,945.0,0.3861871679607683,0.011442582754393135,35
CML,256,1,1,0.01,0.6035742163658142,934.0,0.38169186759297097,0.012668573763792398,0
CML,256,1,5,0.01,0.6097460389137268,941.0,0.38455251328156925,0.013894564773191663,1
CML,256,1,10,0.01,0.6147423386573792,959.0,0.39190845933796487,0.013485901103391908,2
CML,256,2,0,0.01,1.3892725706100464,886.0,0.3620760114425828,0.011442582754393135,3
CML,256,2,1,0.01,1.4014979600906372,900.0,0.36779730281977935,0.0073559460563955865,4
CML,256,2,5,0.01,1.4015121459960938,906.0,0.37024928483857783,0.007764609726195341,5
CML,256,2,10,0.01,1.4077694416046143,885.0,0.361667347772783,0.011851246424192888,6
CML,256,4,0,0.01,3.397034168243408,864.0,0.3530854107069881,0.009807928075194115,7
CML,256,4,1,0.01,3.4027748107910156,867.0,0.3543114017163874,0.012668573763792398,8
CML,256,4,5,0.01,3.395066261291504,865.0,0.3534940743767879,0.014711892112791173,9
CML,256,4,10,0.01,3.405038595199585,897.0,0.36657131181038005,0.011851246424192888,10
CML,16,0.5,0,0.001,0.2367081344127655,1290.0,0.5271761340416837,0.04045770331017572,11
CML,16,0.5,1,0.001,0.23860660195350647,1270.0,0.5190028606456886,0.029423784225582346,12
CML,16,0.5,5,0.001,0.23951546847820282,1273.0,0.5202288516550878,0.03064977523498161,13
CML,16,0.5,10,0.001,0.2397707998752594,1270.0,0.5190028606456886,0.031058438904781365,14
CML,16,1,0,0.001,0.600770115852356,1033.0,0.4221495709031467,0.0171638741315897,15
CML,16,1,1,0.001,0.6087275743484497,1018.0,0.4160196158561504,0.016755210461789946,16
CML,16,1,5,0.001,0.6064849495887756,978.0,0.39967306906416017,0.0171638741315897,17
CML,16,1,10,0.001,0.6047475934028625,980.0,0.4004903964037597,0.015529219452390683,18
